Scene,Samples,UHMF Acc,MAML Acc,Improvement
Lecture,423,0.8389,0.7801,+7.54%
Discussion,312,0.8078,0.7578,+6.60%
Practice,265,0.8101,0.7689,+5.36%
Overall,1000,0.8189,0.7689,+6.50%
